•港台 ,#genre#
御赐仵作频道,http://cfss.cc/cdn/hy/11352948.m3u8
新水浒传频道,http://cfss.cc/cdn/hy/11342384.m3u8
开端虎牙频道,http://cfss.cc/cdn/hy/11342397.m3u8
神探狄仁频道,http://cfss.cc/cdn/hy/11352958.m3u8
三国演义频道,http://cfss.cc/cdn/hy/11602081.m3u8
新三国演频道,http://cfss.cc/cdn/hy/11352944.m3u8
问心虎牙频道,http://cfss.cc/cdn/hy/11352890.m3u8
家有儿女频道,http://cfss.cc/cdn/hy/29774370.m3u8
全职高手频道,http://cfss.cc/cdn/hy/11352901.m3u8
炊事班的频道,http://cfss.cc/cdn/hy/19524135.m3u8
医馆笑传频道,http://cfss.cc/cdn/hy/11352891.m3u8
杨光生活频道,http://cfss.cc/cdn/hy/11602085.m3u8
陈情令播频道,http://cfss.cc/cdn/hy/29465862.m3u8
神医喜来频道,http://cfss.cc/cdn/hy/11601978.m3u8
大宋提刑频道,http://cfss.cc/cdn/hy/26355856.m3u8
鹊刀门传频道,http://cfss.cc/cdn/hy/29805872.m3u8
白鹿原播频道,http://cfss.cc/cdn/hy/11342416.m3u8
长相思播频道,http://cfss.cc/cdn/hy/11336593.m3u8
你是我的频道,http://cfss.cc/cdn/hy/11352920.m3u8
一代枭雄频道,http://cfss.cc/cdn/hy/11342398.m3u8
庆余年播频道,http://cfss.cc/cdn/hy/11352960.m3u8
铁齿铜牙频道,http://cfss.cc/cdn/hy/11342396.m3u8
镖行天下频道,http://cfss.cc/cdn/hy/11352969.m3u8
雪中悍刀频道,http://cfss.cc/cdn/hy/11336592.m3u8
星汉灿烂频道,http://cfss.cc/cdn/hy/11336591.m3u8
将夜虎牙频道,http://cfss.cc/cdn/hy/11352885.m3u8
父母爱情频道,http://cfss.cc/cdn/hy/11602071.m3u8
大染坊播频道,http://cfss.cc/cdn/hy/11602086.m3u8
地下交通频道,http://cfss.cc/cdn/hy/11342433.m3u8
邻里一家频道,http://cfss.cc/cdn/hy/11342426.m3u8
雍正王朝频道,http://cfss.cc/cdn/hy/11342439.m3u8
士兵突击频道,http://cfss.cc/cdn/hy/11342430.m3u8
爱情公寓频道,http://cfss.cc/cdn/hy/11336726.m3u8
电视剧一频道,http://cfss.cc/cdn/hy/29465862.m3u8
电视剧二频道,http://cfss.cc/cdn/hy/11336591.m3u8
电视剧三频道,http://cfss.cc/cdn/hy/21059563.m3u8
电视剧四频道,http://cfss.cc/cdn/hy/26355783.m3u8
电视剧五频道,http://cfss.cc/cdn/hy/11352912.m3u8
电视剧六频道,http://cfss.cc/cdn/hy/11352936.m3u8
电视剧七频道,http://cfss.cc/cdn/hy/21059630.m3u8
电视剧八频道,http://cfss.cc/cdn/hy/26355775.m3u8
电视剧九频道,http://cfss.cc/cdn/hy/21059594.m3u8
电视剧十频道,http://cfss.cc/cdn/hy/11336592.m3u8
电视剧十一道,http://cfss.cc/cdn/hy/11602088.m3u8

•爱奇频道,#genre#

好片速递频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_1143_1080P_t10/c55_fast_1143_1080P_t10.m3u8?d
电影大片频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_738_1080P_t10/c57_fast_738_1080P_t10.m3u8?d
古装妖魔频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_947_1080P_t10/c58_fast_947_1080P_t10.m3u8?d
军旅剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_700_1080P_t10/c54_fast_700_1080P_t10.m3u8?d
抗战剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_884_1080P_t10/c54_fast_884_1080P_t10.m3u8?d
谍战剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c57_fast_882_1080P_t10/c57_fast_882_1080P_t10.m3u8?d
红色剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c60_fast_1049_1080P_t10/c60_fast_1049_1080P_t10.m3u8?d
家庭剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_999_1080P_t10/c59_fast_999_1080P_t10.m3u8?d
泰语剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_949_1080P_t10/c58_fast_949_1080P_t10.m3u8?d
搞笑剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_953_1080P_t10/c58_fast_953_1080P_t10.m3u8?d
传奇剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_1052_1080P_t10/c54_fast_1052_1080P_t10.m3u8?d
青春剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_986_1080P_t10/c58_fast_986_1080P_t10.m3u8?d
欢乐剧场频道,http://lvbdcdncmn.inter.ptqy.gitv.tv/tslive/c56_fast_951_1080P_t10/c56_fast_951_1080P_t10.m3u8?d
青春剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_986_1080P_t10/c58_fast_986_1080P_t10.m3u8?d
甜宠剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c54_fast_877_1080P_t10/c54_fast_877_1080P_t10.m3u8?d
大家剧场频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_975_1080P_t10/c58_fast_975_1080P_t10.m3u8?d
警匪悬疑频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c58_fast_880_1080P_t10/c58_fast_880_1080P_t10.m3u8?d
古装大剧频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c55_fast_879_1080P_t10/c55_fast_879_1080P_t10.m3u8?d
爱情生活频道,http://lvbaiducdnct.inter.ptqy.gitv.tv/tslive/c59_fast_967_1080P_t10/c59_fast_967_1080P_t10.m3u8?d




